, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 796765660, 796846531
Fri Mar 10 13:35:05 2023, 13.144242, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 826114096, 972541699
Fri Mar 10 13:36:24 2023, 13.120463, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1118309454, 1259391612
Fri Mar 10 13:36:38 2023, 13.339990, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1262329776, 1404683781
Fri Mar 10 13:36:52 2023, 13.279998, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1408014339, 1545273143
Fri Mar 10 13:37:06 2023, 13.396832, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1548138981, 1687250380
Fri Mar 10 13:37:20 2023, 13.432262, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1690113898, 1831534007
Fri Mar 10 13:37:34 2023, 13.386712, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1835453614, 1971487506
Fri Mar 10 13:37:48 2023, 13.426968, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 1974641246, 2117826121
Fri Mar 10 13:38:02 2023, 13.462748, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 2120816225, 2261154550
Fri Mar 10 13:38:16 2023, 13.345785, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 2264093935, 2402372634
Fri Mar 10 13:38:30 2023, 13.479207, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 2405529181, 2546647472
Sat Mar 11 11:49:20 2023, 12.430284, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 1088755757, 1247545451
Sat Mar 11 11:49:34 2023, 12.665282, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 1250788484, 1399538958
Sat Mar 11 11:49:47 2023, 12.751567, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 1402455516, 1553814320
Sat Mar 11 11:50:00 2023, 12.826772, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 1556736310, 1703446750
Sat Mar 11 11:50:14 2023, 12.850431, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 1706074611, 1850712730
Sat Mar 11 11:50:27 2023, 12.911768, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 1854273085, 1997497755
Sat Mar 11 11:50:41 2023, 12.904005, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 2000395879, 2142648567
Sat Mar 11 11:50:55 2023, 13.070610, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 2145541870, 2293655810
Sat Mar 11 11:51:08 2023, 13.091007, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 2295987530, 2440272805
Sat Mar 11 11:51:22 2023, 13.131878, serial, 1800000, 800000, 400000, 400000, 400000, 400000, 400000, 400000, 2442971956, 2587844449
Sat Mar 11 11:52:14 2023, 12.791430, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 2634333588, 2785314524
Sat Mar 11 11:52:28 2023, 12.902778, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 2787999881, 2937148975
Sat Mar 11 11:52:42 2023, 13.014651, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 2939325361, 3085807346
Sat Mar 11 11:52:56 2023, 13.869054, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3089058376, 3253605379
Sat Mar 11 11:53:10 2023, 13.014892, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3256481348, 3398740322
Sat Mar 11 11:53:23 2023, 13.086427, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3401230306, 3543766562
Sat Mar 11 11:53:37 2023, 13.111196, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3546542983, 3687764790
Sat Mar 11 11:53:51 2023, 13.164145, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3690344007, 3835320686
Sat Mar 11 11:54:05 2023, 13.157987, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3838293518, 3983588190
Sat Mar 11 11:54:18 2023, 13.179340, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 3986097766, 4128966968
Sat Mar 11 11:59:07 2023, 28.300738, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4341184748, 4406877634
Sat Mar 11 11:59:35 2023, 27.899808, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4408608220, 4475466142
Sat Mar 11 12:00:04 2023, 27.884244, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4477453747, 4543811365
Sat Mar 11 12:00:32 2023, 27.777960, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4545931782, 4612398348
Sat Mar 11 12:01:01 2023, 27.875493, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4614702663, 4681360635
Sat Mar 11 12:01:30 2023, 27.790603, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4683444980, 4749624559
Sat Mar 11 12:01:58 2023, 27.888278, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4751463605, 4818190790
Sat Mar 11 12:02:28 2023, 29.261948, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4820065724, 4897611363
Sat Mar 11 12:02:58 2023, 29.385141, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4899545989, 4969607517
Sat Mar 11 12:03:28 2023, 28.521105, serial, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 4971902616, 5039501259
Sat Mar 11 12:04:18 2023, 12.947177, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5080833245, 5228363263
Sat Mar 11 12:04:31 2023, 12.996938, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5231339574, 5375601716
Sat Mar 11 12:04:45 2023, 13.135741, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5378803307, 5522058861
Sat Mar 11 12:04:59 2023, 13.149777, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5525156631, 5669164014
Sat Mar 11 12:05:13 2023, 13.181141, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5672168035, 5813150889
Sat Mar 11 12:05:26 2023, 13.226559, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5816901856, 5956819040
Sat Mar 11 12:05:40 2023, 13.229281, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 5960027894, 6103044800
Sat Mar 11 12:05:54 2023, 13.264285, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 6106296623, 6248800470
Sat Mar 11 12:06:08 2023, 13.289147, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 6252618575, 6394451342
Sat Mar 11 12:06:22 2023, 13.278936, serial, 1800000, 1200000, 400000, 400000, 400000, 400000, 400000, 400000, 6397491129, 6537325671
Sat Mar 11 12:19:33 2023, 12.674948, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7043697483, 7193366106
Sat Mar 11 12:19:46 2023, 12.906790, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7196073680, 7343429748
Sat Mar 11 12:20:00 2023, 12.987550, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7346576346, 7493113813
Sat Mar 11 12:20:13 2023, 13.107325, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7495823523, 7642559292
Sat Mar 11 12:20:27 2023, 13.111386, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7646226031, 7789321245
Sat Mar 11 12:20:41 2023, 13.147097, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7792263865, 7936030220
Sat Mar 11 12:20:55 2023, 13.165389, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 7939752806, 8083330380
Sat Mar 11 12:21:09 2023, 13.092268, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 8085510795, 8225987974
Sat Mar 11 12:21:22 2023, 13.160244, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 8229152334, 8370672052
Sat Mar 11 12:21:36 2023, 13.218240, serial, 1800000, 1000000, 400000, 400000, 400000, 400000, 400000, 400000, 8373803453, 8515782398
Sat Mar 11 12:43:42 2023, 12.604139, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 9404100315, 9554899550
Sat Mar 11 12:43:55 2023, 12.855009, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 9557532539, 9705372615
Sat Mar 11 12:44:09 2023, 13.016435, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 9708043018, 9851579577
Sat Mar 11 12:44:22 2023, 13.092332, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 9854469584, 9999246618
Sat Mar 11 12:44:36 2023, 13.119698, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 10001450470, 10142982456
Sat Mar 11 12:44:50 2023, 13.129156, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 10146063320, 10289204860
Sat Mar 11 12:45:03 2023, 13.141493, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 10291628194, 10431150969
Sat Mar 11 12:45:17 2023, 13.173941, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 10434180319, 10575248928
Sat Mar 11 12:45:31 2023, 13.181423, serial, 1800000, 400000, 400000, 400000, 400000, 400000, 400000, 400000, 10578295368, 10720503500
